subject_id,sequence,frame,pose_family,Tx_mm,Ty_mm,Tz_mm,Tnorm_mm,valid_depth_points,Official_A_median,Corrected_A_median,Official_A_mean,Corrected_A_mean,Official_A_P90,Corrected_A_P90,Official_A_P95,Corrected_A_P95,Official_B_median,Corrected_B_median,Official_B_mean,Corrected_B_mean,Official_B_P90,Corrected_B_P90,Official_B_P95,Corrected_B_P95,Official_B_coverage,Corrected_B_coverage,runtime_sam_ms,runtime_txyz_ms,runtime_total_ms,outcome_class,fallback_reason
p000893,a001444,32,a001444,17.048741149627066,-88.77090019751567,-27.40859058305567,94.4572026603257,12021,88.38861951638845,37.007918673424385,87.76217586548329,48.26815068190139,141.3830504514711,111.08529131519994,148.7942173464352,122.96365062491338,66.0231095996522,29.566092291433996,71.44345063586941,39.18775656449351,131.49493999562483,90.75256673646497,145.1630914906415,107.70524376806878,0.6121570736955352,0.7095999685117884,351.33856104221195,137.97690096544102,489.31546200765297,USEFUL_CORRECTION,
p000893,a001135,19,a001135,11.054281074758473,9.665721073572108,-133.04152304083001,133.84943088028265,14058,111.40774004659517,13.406755421168567,105.55894299679993,21.846659947323438,187.00495254425743,61.82698066446013,198.10622461661868,71.25715014370145,69.06159353850859,13.596780184045606,77.71053508957878,18.480874282413982,156.50965017217624,42.517624718293845,181.097888010889,60.99017805434699,0.5562992847973592,0.7750435540069687,352.0018139970489,94.97392096091062,446.9757349579595,LARGE_CORRECTION,
p000893,a001135,38,a001135,11.01253094574605,4.331595076902062,-143.31281680251345,143.80056332856293,14249,117.9584764103607,18.351366745552788,118.74335496022964,26.54481532589395,208.97946715438633,70.73202358412037,224.5481678018178,85.42755710767833,72.55137862779412,15.365011624517745,85.72003375706706,21.150228684960442,173.4984358844657,48.498596560537834,203.09310763674515,67.25835180669944,0.5375264809507087,0.7641354465226405,343.9196299877949,94.91259098285809,438.832220970653,LARGE_CORRECTION,
p000893,a001135,56,a001135,8.361089141916242,-3.1467390117571603,-137.0475687003357,137.33843549684266,14188,118.69333454835012,23.082526113781626,119.82326383325844,29.670773789634428,207.99948379015098,76.0983778423322,221.188761573728,86.68018998265666,70.62528298222902,18.99369388294379,85.6013599252129,22.76884427887964,169.92193176135711,47.747432917238115,202.40978449545835,71.74711312245985,0.5399387571573303,0.7622115723929104,399.5392079814337,119.07382000936195,518.6130279907957,LARGE_CORRECTION,
p000893,a000084,21,a000084,14.358140391728448,-13.799249682854509,-190.46924683469152,191.50746585209933,13247,158.6763939478824,158.6763939478824,155.04517192657627,155.04517192657627,245.13110790167806,245.13110790167806,268.09949916694774,268.09949916694774,105.18967973791453,105.18967973791453,121.07073268558287,121.07073268558287,230.34134638482846,230.34134638482846,241.74282573102073,241.74282573102073,0.4679373017089884,0.4679373017089884,364.61727804271504,107.8567510121502,472.47402905486524,FALLBACK,CORRECTION_OUT_OF_RANGE
p000893,a000084,42,a000084,11.374120640912373,-21.831354471061992,-168.67631825220323,170.46313090376387,9821,147.62102341237804,10.426972650080042,137.81289878961354,19.34340588099563,203.05863132079548,47.134548049643904,230.77607999411785,66.77969603319154,74.16297183425678,14.44240042110894,88.68857740228937,17.31517263759029,184.44888297550628,32.792387459661235,195.49152119607515,42.505378630464165,0.5578430433771527,0.7705839705620836,350.34840198932216,82.24212098866701,432.59052297798917,LARGE_CORRECTION,
p000893,a000084,63,a000084,13.174363974930436,-9.318432815945465,-136.57882547103557,137.528806521895,12071,116.6999492648539,14.935144789996944,115.51936950671599,23.0876933630377,191.10462062804953,59.85914531577898,215.03634524709827,82.41784925106958,63.581138253983,13.830456930494218,79.20610226075861,19.165929832993847,169.9481377129944,45.62241968684258,185.5424430285325,55.873942112657566,0.5665884677120632,0.7665020372885541,351.444341999013,86.02366596460342,437.4680079636164,LARGE_CORRECTION,
p000931,a000219,24,a000219,10.5666608405877,-13.843439797708967,-32.135885441979426,36.551474387400944,18623,30.61367695794081,19.84878922972959,151.66922427713448,142.73473892910624,64.91688463373104,48.41249259059077,2038.174931804437,2051.0372015972193,24.818453570980413,18.6904463719354,32.57510932643332,29.212664187093207,52.28846214403809,47.54811938142115,73.66976629957237,76.08856844077464,0.6456555231046965,0.6788971748849255,351.8775230040774,174.1261060233228,526.0036290274002,USEFUL_CORRECTION,
p000931,a000219,48,a000219,4.189423558272148,33.61776485553669,23.970224887788326,41.50032608069375,19860,38.45737407865468,22.719949187666188,156.09339925212305,146.50701402983634,77.45989527866836,71.36832493512158,2028.2151622332126,2031.4447131760521,37.039853753267124,24.774064694748592,47.2904633750621,37.4135239650275,79.45996899946468,69.71543576593126,111.68999168172492,118.04088304696658,0.6230398715547231,0.6366693426099367,349.2168229422532,159.05107103753835,508.26789397979155,USEFUL_CORRECTION,
p000931,a000219,72,a000219,17.175851968228457,-0.32667962223253966,-25.97536769588238,31.14219544840038,19193,31.20751185607631,20.220781652583106,166.4808000046995,158.80929241178148,121.33233196468139,104.5366678899946,2029.9340791231627,2048.7053870880472,27.39610971655422,20.25505945800977,41.651731366382606,36.76147585052,98.68814239400199,87.7568042326979,134.6236097234994,120.19606150377004,0.6347230461219042,0.6728273765386327,356.9829780026339,121.08462699688971,478.0676049995236,USEFUL_CORRECTION,
p000931,a000681,50,a000681,11.815580829165016,-27.573958641664788,-177.74391280914594,180.257675803856,12070,160.07082784057894,160.07082784057894,150.27862941341394,150.27862941341394,214.65132895747888,214.65132895747888,224.85242457301092,224.85242457301092,89.8733717119338,89.8733717119338,98.8501645312026,98.8501645312026,198.4246174072391,198.4246174072391,212.67599367391026,212.67599367391026,0.53011999623752,0.53011999623752,382.9093739623204,102.10082901176065,485.01020297408104,FALLBACK,CORRECTION_OUT_OF_RANGE
p000931,a000681,99,a000681,10.485052712946072,-11.09060302736986,-170.14658128654494,170.8297308122998,11389,146.88223842905768,9.568035874968363,136.43314523480652,14.274256385423266,192.96188554361441,32.702967912848,196.45148370316056,41.01016878714677,82.29689482955182,11.81383017642536,89.61966643871025,16.6907248170501,177.9724006744143,37.01170202339075,190.10381083595178,48.1108097940166,0.5516391524046869,0.769389637748007,354.91064097732306,97.79630997218192,452.70695094950497,LARGE_CORRECTION,
p000931,a000681,148,a000681,1.3120030606263329,-50.56782499842721,-249.24590499791495,254.3272447759624,11555,226.04031017123563,226.04031017123563,198.9923228755127,198.9923228755127,275.77294771880116,275.77294771880116,280.8706470626145,280.8706470626145,140.18564123554705,140.18564123554705,145.45354311087698,145.45354311087698,267.23949260174675,267.23949260174675,274.1894875221202,274.1894875221202,0.4817272414583811,0.4817272414583811,354.2629390140064,103.59812795650214,457.86106697050855,FALLBACK,CORRECTION_OUT_OF_RANGE
p000931,a000017,8,a000017,11.103251827843552,-29.135260210299663,-73.52980172092671,79.86724816715034,22009,71.52356559483601,26.61958093117996,80.93753957268898,37.31834596639968,169.51483073695252,102.1359594124306,187.14018787893812,112.24371524605066,54.63913692530461,24.074352401396954,62.91769382896635,31.223456967383466,138.6558580016007,73.6462564095917,162.94263513819632,95.44987955005239,0.5657861937957177,0.6491116478566946,354.36003596987575,127.14849103940651,481.50852700928226,USEFUL_CORRECTION,
p000931,a000017,16,a000017,11.646705813868063,-30.166288435950538,-73.97913968122793,80.7376233381339,21989,71.08781844178726,25.07346546512868,81.35089041160376,36.92649345308434,172.1459507396429,101.87351453019389,192.33657214992814,115.42213235904264,57.19398252663282,24.491294945662673,63.99312891323001,31.792164224663864,138.50242079981507,73.94538581181055,165.23371608812096,95.15951583444098,0.5639710060088498,0.6451679550971918,352.33542195055634,129.6059720334597,481.94139398401603,USEFUL_CORRECTION,
