subject,sequence,frame,frame_id,camera,role,method,absolute_median_mm,absolute_mean_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm,aligned_mean_mm,aligned_p90_mm,aligned_p95_mm,aligned_coverage_50mm,aligned_translation_mm
Sub04,Date03_Sub04_stool_sit,t0038.000,Sub04/Date03_Sub04_stool_sit/t0038.000,K2,HELD_OUT,O4,15.706409423889315,22.161608697864704,34.91788298157997,40.689105019847474,0.9734,14.397279631683825,20.805315789327576,31.037314560853165,44.67782770522488,0.9618,15.271491014012083
Sub04,Date03_Sub04_stool_sit,t0038.000,Sub04/Date03_Sub04_stool_sit/t0038.000,K3,HELD_OUT,O0,35.5683848331273,48.1570601823164,68.55586290837044,73.53305333561177,0.6768,12.400785003880912,26.06131008219646,29.083554485912114,37.344639986165696,0.976,65.03198620453512
Sub04,Date03_Sub04_stool_sit,t0038.000,Sub04/Date03_Sub04_stool_sit/t0038.000,K3,HELD_OUT,O1,12.892487810644333,27.766513838747247,34.11435303179527,40.47135106555221,0.9796,10.698714059447449,24.703183441033218,26.983266031829967,37.500997481228495,0.9704,17.996247430925386
Sub04,Date03_Sub04_stool_sit,t0038.000,Sub04/Date03_Sub04_stool_sit/t0038.000,K3,HELD_OUT,O2,11.386948841367332,25.664029659457373,30.15552312988752,36.32578802433283,0.982,10.016394724478094,23.749266302363168,25.116315542966,32.48698463830836,0.9762,13.465333765988893
Sub04,Date03_Sub04_stool_sit,t0038.000,Sub04/Date03_Sub04_stool_sit/t0038.000,K3,HELD_OUT,O3,11.70957384034184,26.035714765350967,30.724845501553087,37.02417994292973,0.98,10.26229818598935,24.254684330918675,26.2941508348703,36.68301202684605,0.9714,13.149675611880328
Sub04,Date03_Sub04_stool_sit,t0038.000,Sub04/Date03_Sub04_stool_sit/t0038.000,K3,HELD_OUT,O4,10.922652921052004,25.492095806016376,29.794399375220806,35.80425969861861,0.9832,9.819602263204029,23.558424693549956,24.590870474144474,31.754660808998512,0.977,13.731208477829279
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K0,K0_DIAGNOSTIC,O0,79.23279125790509,80.84432595704408,111.21394835108443,130.17765491931075,0.0928,9.600368713914033,15.5641781260009,34.79334137301864,55.62980914730063,0.9448,97.73078173532089
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K0,K0_DIAGNOSTIC,O1,9.60485672336029,15.839402591600834,36.18770515244898,56.988290494387655,0.9432,9.475527345637504,15.542011228773694,34.9012917652828,55.618409121337834,0.9452,4.951719180293277
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K0,K0_DIAGNOSTIC,O2,7.441095983322013,11.239909701290888,22.62245863935334,36.51415271975673,0.9628,7.185768283556305,11.128143042594907,22.29172478952067,37.412983599069356,0.9642,3.253844415469169
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K0,K0_DIAGNOSTIC,O3,9.12668472262607,15.50742158133973,34.142033775517255,56.43436058779121,0.9444,9.131986002374433,15.401999202503875,33.98201884518614,55.40131943327762,0.9446,2.752990050089638
