subject,sequence,frame_id,method,absolute_median_mm,absolute_mean_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0038.000,O0,13.778086143203996,39.95871565165274,31.378760902350624,47.54177667905272,0.954,10.365708517498387
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0038.000,O1,13.503669296238376,36.113778732829445,40.301839865016085,48.42446655471594,0.956,10.163148106117191
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0038.000,O2,13.673205272767463,34.871878564380296,38.9655773658495,45.72090986026374,0.9576,9.02000787309454
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0038.000,O3,14.620111269660605,35.331335928460376,41.113196280110834,49.02143371337597,0.9558,9.895063797500455
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0038.000,O4,13.577272180455205,34.70113051935317,37.793370510379006,44.66386372550343,0.958,9.035996308406727
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0014.000,O0,30.8043305078709,84.12786656997766,125.55827630995223,184.31226606618074,0.7056,18.303948334465705
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0014.000,O1,20.360101567257914,70.7917692918362,104.51238586616931,162.5321830577467,0.8032,17.567596434224804
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0014.000,O2,16.600137040346798,60.240473415288726,81.20333105969124,134.9354709492051,0.8344,17.323617074629013
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0014.000,O3,18.848744807474965,66.05443261974803,94.90196518967481,153.13154087664162,0.8214,17.695388102035597
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0014.000,O4,17.180818459234906,60.838078068622146,81.87377666588584,134.72178613236892,0.8276,17.31428458498008
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0025.000,O0,18.146693469708698,37.963418135933836,52.34370262444586,68.8939800547016,0.8858,14.380057016398997
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0025.000,O1,16.645628605741102,33.697191138234295,46.92546358640971,62.63462247431639,0.9104,14.415426469082213
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0025.000,O2,12.734080119391077,26.926693953628646,37.71641294747154,50.70184600002122,0.9488,10.608346210782354
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0025.000,O3,16.516541112967893,32.20890095103187,48.85285674393135,62.28483170998973,0.905,13.912435302615481
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0025.000,O4,12.294579693325753,26.869854826359525,37.64583250299075,50.016519246804954,0.9498,10.841614905186923
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0036.000,O0,31.906772908116253,52.18116594904126,72.73648811052298,87.3100569588784,0.7128,18.52947516498684
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0036.000,O1,16.709310228363055,47.25187153307525,54.02677099790952,86.55749636947664,0.8922,16.147384662496243
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0036.000,O2,16.89319523718057,47.109499499155184,44.29548454984367,68.09930851820344,0.917,15.269668367077418
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0036.000,O3,17.39600940648738,49.60034539648588,55.92700848012375,95.0686943957678,0.8894,16.264715022289742
Sub03,Date03_Sub03_yogaball_play,Sub03/Date03_Sub03_yogaball_play/t0036.000,O4,16.977603543116928,47.08731060109075,45.059293651155784,69.7492926054428,0.9156,15.233563638094576
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0015.000,O0,14.721158445581281,28.51255659243235,37.061687235089764,49.810780135358584,0.9508,7.7349445601988265
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0015.000,O1,8.556981221694336,22.064112681958115,24.62891184196447,35.27683512819707,0.9732,7.167860610320753
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0015.000,O2,8.028157833530383,21.44228075773971,24.552787941617815,31.584359805807036,0.9914,6.612390120756947
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0015.000,O3,7.205915566625622,21.69497625583186,25.648755066380755,34.551010175227205,0.9756,7.298054385853611
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0015.000,O4,8.10302935188686,21.497077715323478,24.298339249634953,31.64614032182839,0.9916,6.556116150530137
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0026.000,O0,20.929512141634767,47.01128022696078,52.57995549895189,60.552298224746764,0.8842,10.381279000209883
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0026.000,O1,8.728416506685466,35.297203931571744,31.04173031841433,47.02809452401049,0.9558,8.980250081306522
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0026.000,O2,8.265689096424634,32.89750096252437,27.490611952918243,33.010685521735546,0.9834,8.11263855838024
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0026.000,O3,9.54379042253992,34.17896196261461,32.95298946187002,40.11154053421276,0.9792,9.010764627312296
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0026.000,O4,7.838721636698018,33.25405543220192,27.02554145546054,32.50192659050934,0.9836,7.747544004514669
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0037.000,O0,27.088578860635415,52.59714548259792,62.29476866963458,73.50140492136573,0.8042,13.728042796274007
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0037.000,O1,11.261681610886118,32.89035853449814,34.33204621972728,52.448533523251754,0.9388,9.957302187161659
