id,role,atlas_mean_displacement_px,camera_delta_mm,local_vertex_mean_delta_mm,joint_count,baseline_mean_px,baseline_nme,baseline_pck05,adapted_mean_px,adapted_nme,adapted_pck05,delta_nme
C23,unused_in_updates,0.6025996116952281,2.692159414291382,5.205643177032471,8,13.635326753487755,0.050870113910150803,0.625,13.726829508728695,0.05121148861032135,0.75,0.000341374700170545
C24,unused_in_updates,0.5406433416841129,7.048406600952148,5.4196882247924805,12,3.9815712981512106,0.032751195627283784,0.8333333333333334,4.035089247194191,0.03319141801372994,0.8333333333333334,0.00044022238644615685
C25,unused_in_updates,0.3755956060391584,2.434680938720703,4.759088039398193,8,10.011845800240415,0.05246928097428268,0.625,10.05845033256436,0.05271352228102768,0.625,0.00024424130674499667
C26,unused_in_updates,0.6621375946624188,18.83144760131836,4.97955846786499,12,3.7302429380642685,0.03122870123851959,0.75,3.820164491264274,0.031981502963879554,0.75,0.0007528017253599639
C27,unused_in_updates,0.27569996470527264,20.23885154724121,6.729770183563232,11,6.459318121768738,0.05007718052687101,0.6363636363636364,6.5013511371393085,0.050403050047325045,0.6363636363636364,0.0003258695204540335
C28,unused_in_updates,0.4417614222041197,4.997570037841797,4.694809436798096,8,10.955897686363747,0.0370067028948555,0.75,11.017485042492899,0.03721473194510739,0.75,0.0002080290502518914
C29,unused_in_updates,0.27811270733518767,5.07078742980957,5.729625225067139,11,5.235211812528959,0.028377868967606853,0.8181818181818182,5.291141428588586,0.028681039760458105,0.8181818181818182,0.00030317079285125184
C30,unused_in_updates,1.2687928898418812,7.661879539489746,4.302116870880127,8,16.57299010477029,0.046984467123749804,0.625,16.716026563800487,0.04738997583185356,0.625,0.00040550870810375506
C31,unused_in_updates,1.0144015771707573,1.1702197790145874,6.1493120193481445,12,13.805834203474879,0.038726666734313346,0.75,13.715856398329828,0.03847427050660403,0.75,-0.00025239622770931863
C32,unused_in_updates,0.5077866076588424,2.3520877361297607,4.353709697723389,10,12.39159456911795,0.029075373371146164,1.0,12.36442356281941,0.02901161990111506,1.0,-6.375347003110404e-05
C33,unused_in_updates,0.29788998923414606,6.654234409332275,4.460439682006836,12,5.853772563313005,0.017038704845258823,1.0,5.857503876687662,0.01704956566135448,1.0,1.0860816095657755e-05
C34,unused_in_updates,0.3070192557867217,0.9863643050193787,5.707716941833496,12,6.67733852718458,0.017688112934373574,1.0,6.63631190016736,0.01757943436295734,1.0,-0.00010867857141623471
B1,unused_in_updates,7.362890550495175,3.466756820678711,7.1574506759643555,,,,,,,,
B2,unused_in_updates,6.437535520281918,3.18030047416687,3.9060487747192383,,,,,,,,
B3,unused_in_updates,2.3038694522165075,4.907567024230957,4.101713180541992,,,,,,,,
B4,unused_in_updates,2.048517791415505,6.630753993988037,5.497585773468018,,,,,,,,
B5,unused_in_updates,5.956877834013939,8.201373100280762,5.554934978485107,,,,,,,,
N1,training_image_attribution_only,41.24283706202908,10.123208045959473,6.0464606285095215,,,,,,,,
